Target Return,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
0.005,0.00717838,0.00635111,0.00662838,-0.00107777,0.00498838,-0.000364051,0.011696,0.00836897,-0.00271495,0.00522188,0.00734621,0.00390861,0.00162695,-0.000541856,0.00356007,-0.0065392,-0.00124253,-0.0023392,-0.00103825,0.016566,-0.0177964,0.000107764,0.00321092,0.00478309,-0.00120374,0.000895343,0.00412865,0.00356049,0.00259752,0.00241032,0.00121931,0.00323979,-0.000383029,0.00127471,0.00576496,0.0023082,-8.15908e-05,0.0102575,0.0043257,-0.000278448,0.00373921,0.000591468,0.00348738,-0.000119171,-0.00337978,0.00939495,0.00628871,0.000175221,0.00139109,0.0106304
0.01,0.0100484,0.00967412,0.00368082,-0.00150575,0.00750379,0.00332646,0.0107332,0.0127404,-0.00528778,0.00457958,0.0111105,0.00250657,0.000200603,0.00298768,0.00924408,-0.0071836,-0.000810752,0.00113758,8.40352e-05,0.0170851,-0.0226944,-0.00280438,-0.00307443,0.0064622,-0.001724,0.00373776,0.00368335,0.00297234,0.00400979,0.000387366,0.00346278,0.00286147,0.00294801,0.000227895,0.00656859,0.000750056,0.00162693,0.0156265,0.00844675,0.000243958,0.00573014,0.00542239,0.00287003,0.0031883,-0.00417905,0.010886,-0.000263629,-0.00229986,0.00634658,0.0167265
0.015,0.0139248,0.0125853,-0.00209833,-0.00195719,0.0100075,0.00698223,0.0142601,0.0164658,-0.00774617,0.00326888,0.0148642,0.00114373,-0.00121495,0.00654287,0.0150238,-0.00828284,-0.00808812,-0.0012443,0.00350229,0.0202337,-0.0247538,-0.00607307,-0.00939252,0.00850629,-0.000404414,0.0066147,0.00388388,-0.000460897,0.00548058,0.00210082,0.00572068,0.00262967,0.00698606,0.00107933,0.00717647,0.00215737,0.0012668,0.0167292,0.0124296,0.000675087,0.00773142,0.0101785,0.0023328,0.00560905,-0.00324927,0.0136729,-0.00219155,-0.00244731,0.0113202,0.023192
0.02,0.0160364,0.0148621,-0.00631766,-0.00539525,0.0125939,0.0106579,0.0179813,0.0201772,-0.00669062,0.00196853,0.0186256,-0.000207711,-0.00263698,0.0101108,0.0208778,-0.00984711,-0.00948416,0.000491592,0.00625653,0.0234687,-0.0272758,-0.0094953,-0.0157947,0.0105479,-0.00153611,0.0108311,0.00362866,-0.00140554,0.00592494,0.00104494,0.00799555,0.000755841,0.0105923,0.000698526,0.00775923,0.00131187,0.00254365,0.0207256,0.0165545,-0.00154027,0.00926064,0.0129854,0.00254153,0.00811442,-0.00237977,0.0164339,-0.00424403,-0.00270801,0.0162403,0.0296667
0.025,0.0190117,0.0176296,-0.01058,-0.00707094,0.0131312,0.0127835,0.0217419,0.023858,-0.00891831,0.000673805,0.0223916,-0.00155371,-0.00406468,0.0136827,0.026757,-0.0110681,-0.0109441,0.00217538,-0.00240595,0.0360935,-0.0295086,-0.0130505,-0.0235976,0.0127923,-0.00101436,0.0134363,0.00179378,-0.00235246,0.00478257,-0.000662782,0.00487805,4.45075e-05,0.0142066,0.000322676,0.00830904,0.000512639,0.0038393,0.0247563,0.020046,-0.00150933,0.011236,0.0175027,0.00205123,0.0162397,-0.00154264,0.00190723,-0.00635723,-0.00138596,0.0180891,0.0304129
0.03,0.0313854,0.0236975,-0.0138679,-0.00874673,0.0149891,0.0162455,0.0174206,0.0275257,-0.0111223,-0.000617655,0.0257815,-0.00289675,-0.00549652,0.0172557,0.0326422,-0.0125189,-0.0152034,0.00957626,0.00110059,0.0421181,-0.031755,-0.0193692,-0.0321757,0.015114,-0.000497087,0.0160487,0.00137037,-0.00435443,0.00891676,-0.00195165,0.00629478,-0.000704365,0.0185578,-4.45654e-05,0.0095612,-0.00609614,0.00517258,0.0294572,0.0235421,-0.00357584,0.0132116,0.0220212,0.00156105,0.0198845,-0.00582936,0.00215978,-0.0230806,-0.002139,0.021837,0.034337
0.035,0.0363986,0.0272763,-0.0151931,-0.0103523,0.0168062,0.0197096,0.0194574,0.0311882,-0.0133147,-0.00986799,0.0295443,0.00557038,-0.00693131,0.020829,0.0404043,-0.0139386,-0.0171057,0.0123148,0.00068649,0.0481503,-0.0327834,-0.0235332,-0.0393516,0.0183999,-0.0015455,0.0186647,0.000314261,-0.00541056,0.0122672,0.000252833,0.011494,-0.000554082,0.0222502,-0.000411616,0.0102603,-0.00744387,0.00789609,0.0263676,0.0270501,-0.00384758,0.0151874,0.0265408,0.00107091,0.023536,-0.00581037,0.00239142,-0.0266274,-0.00285072,0.0256059,0.0383134
0.04,0.0399255,0.0257042,-0.0189199,-0.0136826,0.0186375,0.0204371,0.0215055,0.0352571,-0.0155006,-0.0124002,0.0333095,0.00581258,0.00100434,0.0244021,0.04348,-0.0153384,-0.0190153,0.00659552,0.000291749,0.0541902,-0.0348254,-0.0305344,-0.04901,0.0192017,-0.00103439,0.0217561,-0.000497577,-0.00646734,0.0137864,-0.000719141,0.0135013,-0.000847121,0.0259418,-0.00564315,0.0109644,-0.00945502,0.00955932,0.0298316,0.0315449,-0.00412042,0.0205652,0.0310612,0.000580316,0.0280638,-0.00579525,0.00261072,-0.0301849,-0.00605143,0.0560899,0.0560355
0.045,0.0441453,0.0283909,-0.0191888,-0.0155685,0.020689,0.0236491,0.0268271,0.0392705,-0.0120368,-0.0149317,0.0370765,0.00605693,0.000698508,0.0286042,0.0464337,-0.0118989,-0.0209305,0.00827137,-0.0146612,0.0602366,-0.036865,-0.0350739,-0.0599593,0.0215246,-0.000817741,0.024621,-0.00109311,-0.0132994,0.0153035,-0.00169006,0.0155101,-0.00113026,0.0296324,-0.00648265,0.0183305,-0.0113204,0.0158062,0.0333245,0.0358052,-0.00439402,0.0230614,0.0337204,8.94794e-05,0.0317812,0.00272489,0.00282145,-0.0469122,-0.00726955,0.0628537,0.0619907
0.05,0.0487513,0.0310778,-0.0225747,-0.0174554,0.0227575,0.0268558,0.0294756,0.0433005,-0.0139294,-0.0174621,0.0470838,0.0124873,0.000389705,0.0318251,0.0493237,-0.0128725,-0.0258499,0.0099439,-0.0169071,0.066986,-0.0353324,-0.0396212,-0.0677217,0.0229007,-0.000457393,0.0282709,-0.00590904,-0.0215783,0.0138582,-0.00266029,0.0175199,-0.00139659,0.032424,-0.00732171,0.019756,-0.0201413,0.0179123,0.0368285,0.0400331,-0.00466813,0.0255571,0.037976,-0.00121104,0.0354964,0.00360648,0.00302583,-0.0522101,-0.0084868,0.079363,0.0679539
0.055,0.0533871,0.0317097,-0.0256361,-0.019343,0.0248389,0.0300584,0.0321249,0.0473428,-0.0158238,-0.0274526,0.0513663,0.0129868,-0.00197892,0.0350218,0.0521837,-0.0138453,-0.0281394,0.00640958,-0.0191481,0.074298,-0.0367869,-0.0441638,-0.0797072,0.0252107,-0.00889034,0.030988,-0.00702428,-0.0239411,0.0150175,0.00303393,0.014576,-0.00162248,0.0360272,-0.00816035,0.0211816,-0.0225922,0.0200242,0.0403383,0.0442352,-0.00412751,0.0294827,0.0422317,-0.00178778,0.03921,0.00449011,-0.00559415,-0.0575042,-0.00304209,0.0871504,0.073923
0.06,0.0580282,0.0341929,-0.0293511,-0.0183726,0.02693,0.0200356,0.0347745,0.0513945,-0.0177193,-0.0306741,0.0556488,0.0134826,-0.00270813,0.0382015,0.0550315,-0.0148175,-0.0304274,0.0077105,-0.0231714,0.0816009,-0.0328318,-0.0471963,-0.0878281,0.0204349,-0.00919115,0.0337044,-0.00814067,-0.025885,0.0161757,0.00254863,0.0160353,-0.00167317,0.0368336,0.00390739,0.0226061,-0.0250447,0.0221515,0.0285972,0.0463023,-0.00436347,0.0320959,0.0464875,-0.00236441,0.0429226,0.00537529,-0.00603629,-0.0627954,-0.00363988,0.0949371,0.0798968
0.065,0.0634019,0.0366762,-0.0327371,-0.0200105,0.0280642,0.0222259,0.0380194,0.0534741,-0.0196154,-0.0338966,0.0599313,0.0139758,-0.00344234,0.0413693,0.0793983,-0.0157894,-0.0327144,0.00487615,-0.0255737,0.0875282,-0.0334345,-0.0516628,-0.0959494,0.0221907,-0.00898068,0.0364213,-0.00926207,-0.0278307,0.0173373,0.00206206,0.0174935,-0.00379003,0.0402484,0.00638976,0.0225166,-0.0274984,0.0230323,0.0301736,0.0502449,-0.00459796,0.0347097,0.0507432,-0.00294096,0.0466342,0.0190951,-0.00682283,-0.0680844,-0.0042394,0.102723,0.0801118
