Target Return,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
0.005,-0.923109,-1.62069,-1.21103,-1.88386,-2.14841,-1.99288,-0.825566,-1.24229,-0.715505,-0.654082,-1.1674,-0.925347,-1.63998,-0.93546,-0.888724,-1.01962,-1.26079,-1.22607,-0.912278,-0.064911,-1.25485,-0.611343,-1.0124,-0.866155,-1.31848,-1.12023,-0.887749,-1.89,-1.24527,-1.45026,-1.51542,-0.678553,-1.19252,-1.04506,-1.10551,-1.22396,-1.59127,-0.719434,-1.06727,-0.8338,-1.42526,-1.86045,-0.97798,-1.5966,-1.50446,-0.419582,-0.920832,-0.987131,-0.67395,-0.436478
0.01,-0.372504,-1.17852,-0.63174,-0.688086,-1.00485,-0.696581,-1.04285,-1.12513,-0.90577,-0.805906,-1.51262,-1.15451,-1.15464,-1.63147,-1.01612,-0.596656,-0.657251,-0.591354,-1.31565,-0.814405,-0.730872,-1.02932,-0.468401,-0.672512,-0.904199,-1.02027,-0.515718,-0.16678,-0.250733,-0.725534,-0.785605,-0.964476,-0.915006,-0.571841,-0.87007,-0.975474,-2.60068,-1.23779,-0.88541,-0.451154,-0.699373,-0.839472,-0.75839,-0.756592,-0.829187,-1.61082,0.0323723,-0.426036,-0.995676,-0.753246
0.015,-0.312433,-0.547555,-0.713625,-0.536543,-0.42632,-0.637081,-0.50389,-0.204872,-0.278491,-0.217833,-0.509022,-0.85877,-0.855915,-0.380658,-0.868761,-0.938118,-1.08548,-0.442359,-0.274829,-1.10038,-2.29939,-0.851634,-0.629223,-0.522925,-0.397936,-0.852964,-0.669306,-0.469915,-0.642371,-0.869852,-0.689059,-0.0367927,-0.922087,-0.445696,-0.914989,-0.827147,0.194289,-0.155732,-0.550735,-0.92042,-0.700938,-0.510906,-0.506051,-0.67115,-1.11213,-1.20906,-0.619651,-0.541326,-0.236494,-0.808309
0.02,-0.446007,-0.678911,-0.593803,-0.30905,-0.754131,0.213888,-0.374712,-0.451323,0.0533684,-0.456809,-0.278456,-0.520059,-0.364083,-0.460592,-0.343847,-0.720105,0.0653379,-0.536839,-0.65422,-0.515574,-0.604473,-1.03119,-0.084778,-0.827262,-0.545721,-0.978122,-0.110371,-0.150942,-1.04387,-2.04238,-0.464215,-0.390245,-0.070605,-0.00334775,-0.572183,-0.517912,-0.0499326,-0.563132,-0.903302,-0.213741,0.00334483,-0.619,-0.676039,-0.305706,-0.294349,0.0801998,-0.265909,-0.493706,-0.800681,-0.234228
0.025,-0.360139,-0.149611,-0.459474,-0.90483,-0.381498,-0.60511,-0.496481,-0.226319,-0.140062,-0.352524,-0.344906,-0.37845,-0.4609,0.0863578,-0.0178984,-0.337802,-0.273754,-0.130895,-0.271939,-0.0946768,-0.482497,-0.542574,-0.429391,-0.565544,-0.0115862,0.0959338,0.00606268,-0.752545,-0.25949,-0.750286,-0.300755,-0.226721,-0.454884,-0.558526,-0.26508,-0.230414,-0.939538,-0.857633,-0.890482,-0.561103,-0.158416,0.205072,-0.2171,-0.665046,-0.41434,-0.0358763,-0.404378,-0.493307,-0.0993193,-0.235799
0.03,-0.194889,-1.13826,-0.263245,0.168491,0.110973,-0.317132,-0.401613,-0.438169,-0.220966,-0.174569,-0.235135,-0.297262,-0.693675,-0.257693,-0.285281,-0.176378,-0.145465,-0.322882,-0.302753,-0.372643,-0.317802,-0.90004,0.401427,-0.0203664,-0.848078,0.393562,0.203738,-0.343351,-0.0589455,-0.414356,-0.348323,-0.479023,-0.349115,-0.0331036,0.145338,0.00375113,-0.310063,-0.492889,-0.515787,-0.0751595,-0.472789,-0.399161,-0.821327,-0.0442082,0.122837,-0.752472,-1.30319,-0.541462,0.017033,-0.122949
0.035,0.252923,-0.510655,-0.402839,0.0677622,-0.128265,-0.380752,-0.314038,0.261477,-0.832281,-0.0399451,-0.363678,-0.614628,0.289473,0.11632,-0.442707,-0.673991,-0.197062,-0.0411763,-0.146074,-0.515415,-0.563978,-0.434015,-0.215532,-0.225123,-0.0373988,-0.400427,-0.364488,-0.532637,-0.322645,-0.186055,-0.524821,0.465154,-0.199764,-0.317314,0.45151,-0.225672,-0.148338,-0.266198,-0.363577,-0.336228,-0.35314,-0.598171,0.16842,0.109174,-0.406555,-0.224726,-0.485381,-0.672576,0.156907,-0.328286
0.04,-0.216595,-0.564944,0.263443,0.27952,-0.444382,-1.02427,-0.00812119,-0.187832,0.201694,0.402839,-0.397502,-0.436836,0.362181,-0.259171,-0.344942,0.0515343,0.43373,-0.373449,-0.420716,-0.0247604,-0.0900802,0.162686,-0.139739,-0.428863,-0.599244,0.0197618,-0.162997,0.0397598,-0.384565,-0.618663,-0.064999,-0.430374,-0.151423,-0.178556,-0.0174568,-0.298147,-0.180069,-0.300604,-0.185591,0.317561,0.123188,-0.267305,0.04409,0.0949617,-0.180673,0.121584,-0.282055,-0.381354,-0.469228,-0.34298
0.045,0.348933,0.229726,0.572767,-0.517086,-0.0727596,-0.727654,0.0481891,0.13631,-0.0371923,-0.284381,-0.0654696,0.0193168,-0.475026,-0.574668,-0.514333,-0.255959,-0.044868,0.458974,0.06871,-0.371512,-0.493585,0.323316,0.104061,-0.104696,0.0418496,0.09347,0.0648725,-0.999039,-0.265345,0.154577,0.155789,-0.291669,-0.327888,-0.385813,-0.0941851,-0.0480593,-0.2284,-0.193673,-0.491018,-0.178533,-0.122503,-0.14636,-0.0923024,-0.235626,-0.356908,-0.0130987,-0.202609,-0.785201,0.656584,0.0998254
0.05,-0.765541,0.502659,0.491355,-0.244024,0.0582278,-0.29575,-0.277398,-0.332717,-0.242592,0.0585522,0.280519,0.516362,-0.227896,-0.215074,-0.526761,0.128406,-0.177881,-0.120634,-0.444327,0.158658,0.298294,-0.307847,-0.661606,-0.424624,0.112798,0.147045,0.432199,-0.326537,-0.230723,0.161367,0.187541,-0.122031,-0.0886518,0.308746,-0.497702,-0.0323168,-0.423117,-0.496027,0.241221,0.177862,-0.376222,-0.655949,-0.0447267,-0.00994874,-0.0685059,-0.392565,-0.43175,-0.125064,-0.149158,-0.144535
